_total_solve_time = 46.99
cost = 273738

x [*,*]
:         F10         F104         F106        F123         F125        F127 :=
C39    0.00992711   0           0           0           0            0
C4     0            0           0           0           0            0
C40    0            0           0           0           0            0
C41    0            0           0           0           0            0
C42    0.374962     0           0           0           0            0
C43    0            0           0.0774902   0           0            0
C44    0            0           0           0           0            0
C45    0            0           0           0           0            0
C46    0            0           0           0.0396759   0            0
C47    0            0           0           0           0            0
C48    0            0           0           0           0.450717     0
C49    0            0           0           0           0            0
C5     0            0.0371538   0           0           0            0.240171
C50    0            0           0           0           0            0
C51    0            0           0           0           0            0
C52    0            0           0           0           0            0
C53    0            0           0           0           0            0
C54    0            0           0           0.0396759   0.450717     0
C55    0            0           0           0           0            0
C56    0            0           0           0           0            0
C57    0            0           0           0           0            0
C58    0            0           0           0           0            0
C59    0.374962     0           0.0774902   0.0396759   0            0
C6     0            0           0           0           0.081099     0
C60    0            0           0           0           0.450717     0
C61    0            0           0           0           0            0.240171
C62    0.374962     0           0           0           0            0
C63    0            0           0           0           0            0.240171
C64    0            0           0           0           0            0
C65    0            0           0           0           0            0
C66    0            0           0           0.0396759   0            0
C67    0            0           0           0.0396759   0            0
C68    0            0           0           0           0            0
C69    0            0           0           0           0            0
C7     0            0           0           0           0            0
C70    0            0           0           0           0            0.240171
C71    0            0           0.0774902   0.0396759   0            0.240171
C72    0.374962     0           0           0           0            0
C73    0.224458     0           0           0           0            0
C74    0            0           0           0.0396759   0            0
C75    0            0           0           0           0.450717     0
C76    0            0           0.0774902   0           0            0
C77    0            0           0           0           0            0
C78    0            0.0371538   0           0           0            0
C79    0            0           0           0.0396759   0            0
C8     0            0           0           0           0            0
C80    0            0           0           0           0            0
C81    0            0           0           0.0396759   0            0.240171
C82    0            0.0371538   0           0.0396759   0            0
C83    0.374962     0           0           0           0            0
C84    0.034165     0           0           0           0            0
C85    0            0           0           0           0            0
C86    0            0           0           0.0396759   0            0.240171
C87    0            0           0           0           0            0
C88    0.374962     0           0           0           0            0
C89    0            0           0           0           0            0.240171
C9     0            0           0           0           0            0
C90    0            0           0           0           0            0
C91    0            0           0           0           0            0
C92    0.374962     0           0           0           0.131541     0
C93    0            0           0           0           0            0
C94    0            0           0           0           0            0
C95    0            0           0           0           0            0
C96    0            0.0371538   0           0           0.00892105   0
C97    0.0647387    0           0.0774902   0           0            0
C98    0            0           0           0           0            0
C99    0            0           0           0.0396759   0            0

:        F160        F163        F169        F171        F177        F179    :=
C1     0           0           0           0           0           0
C10    0           0.344201    0           0           0           0
C100   0           0           0           0.0224246   0           0
C101   0.202855    0           0           0           0           0
C102   0           0           0           0           0           0
C103   0           0           0           0           0           0
C104   0           0           0           0           0           0
C105   0           0           0           0           0           0
C106   0           0           0           0           0           0.116383
C107   0           0.0345764   0.11258     0           0           0
C108   0           0           0           0           0           0
C109   0           0           0           0           0           0
C11    0           0           0           0           0           0
C110   0.202855    0           0           0           0           0
C111   0.202855    0           0           0           0           0
C112   0           0           0           0           0           0
C113   0           0.344201    0           0           0           0
C114   0           0           0.11258     0           0.17892     0
C115   0           0           0           0.0224246   0           0
C116   0           0           0           0           0           0
C117   0           0           0           0           0           0
C118   0           0           0           0           0           0
C119   0           0           0.11258     0           0           0
C12    0           0           0           0           0.17892     0
C120   0           0           0.11258     0           0           0
C121   0           0           0           0           0           0
C122   0           0           0.11258     0           0           0.289919
C123   0           0           0           0.0224246   0           0
C124   0           0           0           0           0           0
C125   0           0           0           0           0           0
C126   0           0           0           0           0           0
C127   0           0           0           0.0224246   0.17892     0
C128   0           0.344201    0           0.0224246   0           0
C129   0           0           0           0           0           0
C13    0.202855    0           0           0           0.17892     0
C130   0           0           0.11258     0           0           0
C131   0           0           0           0           0           0
C132   0           0           0           0           0           0
C133   0.0712857   0           0           0           0           0
C134   0           0           0           0           0           0
C135   0.0452378   0.344201    0           0           0           0
C136   0.202855    0           0.11258     0           0           0
C137   0           0.344201    0           0           0           0
C138   0           0.344201    0           0           0           0
C139   0           0           0           0           0           0
C14    0           0           0           0           0           0
C140   0           0           0.11258     0           0           0
C141   0           0           0           0           0           0
C142   0.202855    0           0           0           0           0
C143   0           0           0           0           0.17892     0
C144   0           0           0           0           0           0
C145   0           0           0           0           0           0
C146   0           0           0           0           0           0.289919
C147   0           0           0           0           0           0
C148   0           0           0           0           0           0
C149   0           0           0           0           0           0
C15    0           0           0           0           0.17892     0.289919
C150   0.159474    0           0           0.0224246   0           0
C151   0           0           0           0           0           0
C152   0           0           0           0           0           0
C153   0           0.344201    0           0           0           0
C154   0           0           0           0           0           0
C155   0           0           0           0           0           0
C156   0           0           0           0           0           0
C157   0           0           0           0           0           0
C158   0           0           0           0           0           0
C159   0           0           0           0           0           0
C16    0           0           0           0           0.17892     0
C160   0           0           0           0           0           0
C161   0           0           0           0           0           0
C162   0           0           0           0           0           0.286746
C163   0           0           0           0           0           0
C164   0.202855    0           0           0           0           0
C165   0           0           0           0           0           0
C166   0           0           0           0           0           0
C167   0           0           0           0           0           0
C168   0           0           0           0           0           0
C169   0           0           0           0           0           0
C17    0           0.344201    0.11258     0           0           0
C170   0           0           0           0           0           0.289919
C171   0           0           0           0           0           0
C172   0           0           0           0           0           0
C173   0.202855    0           0           0           0           0
C174   0           0           0           0           0           0
C175   0           0           0           0           0           0
C176   0.202855    0           0           0           0           0
C177   0           0           0           0           0           0
C178   0.202855    0           0           0           0           0
C179   0           0           0           0           0           0
C18    0           0           0.11258     0           0           0.289919
C180   0           0.344201    0           0           0           0
C181   0           0           0.11258     0           0           0
C182   0           0           0           0           0.17892     0
C183   0           0           0           0.0224246   0           0
C184   0.202855    0           0           0           0           0
C185   0.202855    0           0           0           0           0
C186   0           0           0           0           0           0
C187   0           0           0           0           0           0
C188   0           0           0           0           0           0
C189   0           0           0           0.0224246   0           0
C19    0           0           0           0           0           0
C190   0           0           0           0           0.17892     0.289919
C191   0.202855    0           0           0.0224246   0           0
C192   0           0           0           0           0           0
C193   0           0           0           0           0           0
C194   0           0           0           0.0224246   0           0
C195   0           0           0           0           0           0.289919
C196   0           0           0           0           0           0
C197   0           0           0           0           0           0
C198   0.202855    0           0           0           0           0
C199   0           0           0           0.0224246   0           0.289919
C2     0           0           0           0           0           0
C20    0           0           0           0           0           0
C200   0           0           0           0           0           0
C201   0           0           0           0.010205    0.17892     0
C202   0           0.344201    0           0           0           0
C203   0           0           0           0           0           0
C204   0           0           0           0           0.0891107   0
C205   0           0.344201    0           0           0.17892     0
C206   0           0           0           0           0           0
C207   0           0           0           0           0           0
C208   0           0           0           0           0           0
C209   0           0           0           0           0           0
C21    0           0           0           0           0           0
C210   0           0           0           0           0           0
C211   0           0           0           0           0           0.249524
C212   0           0           0           0           0           0
C213   0           0           0           0           0.17892     0
C214   0           0           0           0           0           0
C215   0           0           0           0.0224246   0           0
C216   0           0           0           0           0           0
C217   0           0           0           0           0.17892     0
C218   0           0           0.0484217   0           0           0
C219   0           0           0.11258     0           0           0
C22    0           0           0           0           0           0
C220   0           0           0.11258     0           0.17892     0
C221   0           0           0           0           0           0
C222   0           0           0           0           0           0
C223   0           0           0           0           0           0
C224   0           0           0           0           0           0
C225   0           0           0           0           0.17892     0
C226   0           0           0           0           0           0
C227   0           0           0           0           0.17892     0
C228   0           0           0           0           0.17892     0.289919
C229   0           0           0           0           0           0
C23    0           0           0           0           0           0
C230   0           0           0           0           0.17892     0
C231   0.0743265   0           0           0           0           0.289919
C232   0           0           0           0           0.17892     0
C233   0           0           0           0           0           0
C234   0           0           0           0           0           0
C235   0           0           0           0           0           0
C236   0           0           0           0           0           0
C237   0.202855    0           0           0           0           0
C238   0           0.344201    0           0           0           0
C239   0           0           0           0           0           0
C24    0.202855    0           0.11258     0.0224246   0.17892     0
C240   0           0           0.11258     0           0           0
C241   0           0           0           0           0           0
C242   0           0           0           0           0           0
C243   0           0           0           0           0           0
C244   0           0           0           0           0           0
C245   0.202855    0           0           0           0           0
C246   0           0           0           0           0           0
C247   0           0.344201    0           0           0           0
C248   0           0           0           0           0           0
C249   0           0           0.11258     0           0           0
C25    0           0           0           0           0           0.289919
C250   0           0           0           0           0           0
C26    0           0           0           0           0           0
C27    0           0.344201    0           0           0           0
C28    0           0.344201    0           0           0           0
C29    0           0           0           0           0           0.289919
C3     0           0           0           0           0           0
C30    0.0887142   0           0           0           0           0
C31    0           0           0.11258     0           0           0
C32    0           0           0           0           0           0
C33    0           0           0           0.0224246   0           0
C34    0           0           0.11258     0.0224246   0           0
C35    0           0           0           0           0           0
C36    0           0           0           0           0           0
C37    0           0           0           0           0           0
C38    0           0           0           0.0224246   0           0
C39    0           0.344201    0           0           0           0
C4     0           0.344201    0           0           0           0
C40    0           0           0           0           0           0.289919
C41    0           0           0           0           0.17892     0
C42    0           0           0           0           0           0
C43    0           0           0           0           0           0
C44    0           0           0           0           0           0
C45    0           0           0           0           0           0.289919
C46    0           0           0           0           0           0
C47    0           0           0           0           0           0
C48    0           0           0           0           0           0
C49    0.202855    0           0           0           0           0
C5     0           0           0           0           0           0
C50    0           0           0           0           0           0
C51    0           0           0           0           0           0
C52    0           0           0           0           0           0
C53    0           0           0           0           0.161562    0
C54    0           0           0           0           0           0
C55    0           0           0           0           0           0
C56    0           0           0           0           0.070544    0
C57    0           0           0           0           0           0
C58    0.202855    0           0           0           0           0
C59    0           0           0           0           0           0
C6     0           0.344201    0           0           0           0
C60    0           0           0           0           0           0
C61    0           0           0.11258     0           0           0
C62    0.202855    0           0           0           0.17892     0
C63    0.202855    0           0           0           0           0
C64    0           0           0           0           0.17892     0
C65    0           0           0           0.0224246   0           0
C66    0           0           0           0           0           0
C67    0           0           0           0           0           0
C68    0.202855    0           0.11258     0           0           0
C69    0           0.0868193   0           0           0           0
C7     0           0           0           0           0           0
C70    0.202855    0           0           0           0.17892     0
C71    0           0           0           0           0           0.043188
C72    0           0           0.11258     0           0           0
C73    0           0           0           0           0           0
C74    0.202855    0           0           0           0           0
C75    0           0           0           0.0224246   0           0
C76    0           0           0           0           0           0
C77    0           0.344201    0           0           0           0
C78    0           0           0           0           0           0
C79    0           0           0           0           0           0
C8     0           0           0.11258     0           0           0
C80    0           0           0           0.0224246   0           0
C81    0           0           0           0           0           0
C82    0           0           0.105371    0           0           0
C83    0           0           0.11258     0           0           0
C84    0           0.344201    0           0           0           0
C85    0           0           0           0           0           0
C86    0           0           0           0           0           0
C87    0           0           0           0.0224246   0           0
C88    0           0           0           0           0           0
C89    0.202855    0           0           0           0           0
C9     0           0           0.11258     0           0           0
C90    0           0           0           0.0224246   0           0
C91    0.202855    0           0           0           0           0
C92    0           0           0           0           0           0
C93    0           0           0           0           0           0
C94    0           0.344201    0           0           0           0
C95    0           0           0           0.0224246   0           0
C96    0           0           0           0           0           0
C97    0           0           0           0           0           0
C98    0.202855    0           0           0           0.17892     0
C99    0           0.344201    0           0           0           0

:        F188        F189         F19        F191        F193        F196    :=
C1     0           0           0           0           0           0.061396
C10    0           0           0           0           0           0
C100   0.0804814   0.0873014   0           0.255314    0           0
C101   0           0           0           0           0           0
C102   0           0           0           0           0           0
C103   0           0           0           0           0.20322     0
C104   0           0           0           0.255314    0           0
C105   0.0804814   0           0           0.0259225   0           0
C106   0           0           0           0           0           0
C107   0           0           0           0           0           0
C108   0           0           0           0           0           0
C109   0           0           0           0           0           0
C11    0           0           0           0           0           0
C110   0           0           0           0           0           0
C111   0           0           0.0705984   0           0           0
C112   0           0           0           0           0.20322     0
C113   0           0           0           0           0.20322     0
C114   0           0.0873014   0           0           0           0
C115   0.0804814   0           0           0           0           0
C116   0.0804814   0.0873014   0.144901    0           0.20322     0
C117   0           0           0           0           0           0.061396
C118   0           0           0           0           0           0
C119   0           0           0           0           0           0
C12    0           0           0.144901    0           0           0
C120   0           0           0           0           0.20322     0
C121   0           0           0.144901    0           0           0
C122   0           0           0           0           0           0
C123   0           0           0           0           0.20322     0
C124   0           0           0           0           0           0
C125   0           0           0           0           0           0
C126   0           0           0           0           0           0
C127   0           0           0           0           0           0
C128   0           0           0           0           0           0
C129   0           0           0           0           0.20322     0
C13    0           0           0           0           0           0
C130   0           0           0.144901    0           0.0825416   0
C131   0.0804814   0           0           0           0           0
C132   0           0           0           0           0.20322     0
C133   0           0           0           0           0.20322     0
C134   0           0.0873014   0           0           0           0
C135   0           0           0           0           0           0
C136   0           0           0           0           0           0
C137   0           0.0873014   0           0           0           0
C138   0.0804814   0           0           0           0           0
C139   0           0           0           0           0           0.061396
C14    0           0.0873014   0           0           0           0
C140   0           0           0           0           0           0
C141   0           0           0           0           0           0
C142   0           0           0           0           0           0
C143   0           0           0           0           0.20322     0
C144   0           0.0873014   0           0           0           0
C145   0           0           0           0           0           0
C146   0           0           0           0           0           0
C147   0           0           0           0           0           0
C148   0           0           0.144901    0           0           0.0246699
C149   0           0.0873014   0           0           0           0
C15    0           0           0           0           0           0
C150   0           0           0           0.255314    0           0
C151   0.0804814   0           0           0           0           0
C152   0           0           0           0           0           0
C153   0           0           0           0           0           0
C154   0           0           0           0           0           0
C155   0           0           0           0           0.20322     0
C156   0           0           0           0           0           0
C157   0.0804814   0           0           0           0           0
C158   0           0           0           0.255314    0           0
C159   0           0           0.144901    0           0           0.061396
C16    0           0           0           0           0           0
C160   0           0           0           0.255314    0           0
C161   0           0           0           0           0           0
C162   0           0           0           0           0           0
C163   0           0           0           0           0           0
C164   0.0804814   0           0           0           0           0.061396
C165   0           0           0           0.255314    0           0.061396
C166   0           0           0           0           0           0
C167   0           0           0.144901    0           0           0
C168   0           0           0           0           0           0
C169   0           0           0           0           0           0
C17    0           0           0           0           0           0
C170   0           0           0           0           0           0
C171   0           0.0873014   0           0.255314    0           0
C172   0           0           0           0           0           0
C173   0           0           0           0           0           0
C174   0           0           0           0.255314    0           0
C175   0.0804814   0           0           0           0           0
C176   0           0           0           0           0           0
C177   0           0.0873014   0           0           0           0
C178   0           0           0           0           0           0
C179   0           0           0           0           0           0
C18    0           0           0           0           0           0
C180   0.0804814   0.0873014   0           0           0           0
C181   0           0           0           0           0.20322     0
C182   0           0           0.144901    0           0           0
C183   0           0           0           0           0           0
C184   0           0           0.144901    0.255314    0           0
C185   0           0           0           0.255314    0           0.061396
C186   0           0           0.144901    0           0           0
C187   0           0.0873014   0           0           0           0
C188   0           0           0           0           0           0
C189   0           0           0           0           0           0
C19    0           0           0           0           0.20322     0
C190   0           0           0           0.0600876   0           0
C191   0           0           0           0           0           0
C192   0           0           0           0           0           0.061396
C193   0           0           0.144901    0           0           0
C194   0           0           0           0           0           0
C195   0           0           0           0           0           0
C196   0           0           0           0           0           0
C197   0           0           0.0296267   0           0           0
C198   0           0           0           0           0           0
C199   0           0           0           0           0           0.061396
C2     0           0           0.0155916   0           0           0
C20    0           0           0           0           0           0
C200   0           0           0           0           0           0
C201   0           0           0           0           0.20322     0
C202   0           0           0           0           0           0.061396
C203   0           0           0           0           0           0
C204   0           0           0           0           0           0
C205   0           0           0.144901    0           0           0
C206   0           0           0           0.255314    0           0
C207   0           0           0.144901    0           0.20322     0
C208   0           0           0           0           0           0
C209   0           0.0873014   0           0           0           0
C21    0           0           0           0           0           0.061396
C210   0           0           0           0           0           0
C211   0           0           0           0           0           0
C212   0           0           0           0           0           0
C213   0           0           0           0           0           0
C214   0           0           0           0           0           0
C215   0           0           0           0           0           0
C216   0.0804814   0           0           0           0           0
C217   0           0.0873014   0           0           0           0
C218   0.0804814   0           0           0           0           0
C219   0           0           0.0057185   0           0           0
C22    0           0           0           0           0           0
C220   0           0.0873014   0.144901    0           0           0
C221   0           0           0.144901    0           0           0
C222   0.0804814   0           0           0           0           0
C223   0           0           0           0           0           0
C224   0           0           0           0           0.20322     0
C225   0           0           0           0           0           0
C226   0           0           0           0           0           0
C227   0           0           0           0           0           0.061396
C228   0           0           0           0           0.20322     0
C229   0           0           0           0           0           0
C23    0           0           0           0           0           0
C230   0           0           0           0           0           0
C231   0           0           0           0           0           0
C232   0           0           0           0           0           0
C233   0           0           0           0           0           0
C234   0           0.0873014   0           0           0           0
C235   0           0           0           0           0           0
C236   0           0           0           0           0.20322     0.061396
C237   0           0           0           0           0           0
C238   0           0           0           0           0           0
C239   0           0.0873014   0           0           0           0
C24    0.0804814   0           0.144901    0           0           0
C240   0           0           0           0           0           0
C241   0           0           0.144901    0           0           0
C242   0           0           0           0           0           0
C243   0           0.0873014   0           0           0           0
C244   0           0           0           0           0           0
C245   0           0           0           0           0           0
C246   0.0804814   0           0           0           0           0
C247   0           0           0           0.24065     0           0.061396
C248   0.0804814   0           0           0           0.0621454   0
C249   0           0           0           0           0           0
C25    0           0           0           0           0           0
C250   0           0           0           0           0           0
C26    0           0           0           0.255314    0           0
C27    0           0           0           0           0.0297154   0
C28    0           0           0           0           0           0
C29    0           0           0           0           0           0
C3     0           0           0           0           0           0
C30    0           0           0           0           0           0
C31    0           0           0           0.255314    0           0
C32    0           0           0           0           0           0
C33    0           0           0           0           0           0
C34    0           0           0           0           0           0
C35    0           0           0           0.0435131   0           0
C36    0           0.0873014   0           0           0           0
C37    0           0           0           0           0.20322     0
C38    0           0           0           0           0.137783    0
C39    0           0           0           0           0           0
C4     0           0           0           0           0           0
C40    0           0           0           0           0.20322     0
C41    0           0           0           0           0.20322     0
C42    0           0           0           0           0           0
C43    0           0           0           0           0           0
C44    0           0           0           0           0           0.061396
C45    0           0.0873014   0           0.255314    0           0
C46    0           0.0873014   0           0           0           0
C47    0           0           0           0           0           0
C48    0           0           0           0           0           0
C49    0           0           0           0           0           0
C5     0           0           0.144901    0           0           0
C50    0.0804814   0           0           0.0597232   0           0
C51    0           0           0           0           0.20322     0
C52    0           0           0.144901    0           0           0.061396
C53    0           0           0           0           0           0
C54    0           0           0           0           0           0
C55    0           0           0           0           0           0
C56    0           0           0           0           0           0
C57    0           0.0873014   0           0.255314    0           0
C58    0           0           0           0           0           0
C59    0.0804814   0           0           0           0           0
C6     0           0           0           0           0           0
C60    0           0           0           0           0           0
C61    0           0           0           0           0           0
C62    0           0           0           0           0           0
C63    0           0           0           0           0           0
C64    0           0           0           0.255314    0.169521    0.061396
C65    0           0           0           0           0.20322     0
C66    0           0           0           0           0           0
C67    0.0804814   0           0           0           0           0
C68    0.0804814   0           0.144901    0.255314    0           0
C69    0           0           0           0           0           0
C7     0           0           0           0           0           0
C70    0           0           0           0           0           0
C71    0           0           0           0           0           0
C72    0           0           0           0.222043    0           0
C73    0.0804814   0           0           0           0           0
C74    0           0           0           0           0           0
C75    0           0           0           0           0           0
C76    0           0           0           0           0           0
C77    0           0           0.126032    0           0           0
C78    0           0           0           0           0           0.0467761
C79    0           0           0           0.255314    0           0
C8     0           0.0873014   0.144901    0           0           0.061396
C80    0           0           0           0.255314    0.153823    0
C81    0           0           0           0           0           0
C82    0           0           0           0           0           0
C83    0           0           0           0           0           0
C84    0           0           0           0           0           0
C85    0           0           0           0           0           0
C86    0           0           0           0           0           0
C87    0.0804814   0           0           0           0           0
C88    0           0           0           0.255314    0           0
C89    0           0           0           0.251107    0           0
C9     0           0           0           0.255314    0           0
C90    0           0           0           0.255314    0           0
C91    0           0.0873014   0           0           0           0.061396
C92    0.0804814   0           0           0           0           0
C93    0.0804814   0           0           0.159642    0           0
C94    0           0           0.144901    0           0           0
C95    0           0           0.144901    0.255314    0           0
C96    0           0.0873014   0           0           0           0
C97    0.0804814   0.0873014   0           0           0           0
C98    0           0           0           0           0           0
C99    0           0           0           0           0.125928    0

:        F198        F207        F208         F21        F213        F218    :=
C1     0           0           0           0.113086    0           0
C10    0           0           0           0           0           0
C100   0           0           0           0           0           0
C101   0           0.0314767   0           0.113086    0           0
C102   0.206072    0           0           0.113086    0           0
C103   0           0           0           0           0           0
C104   0           0           0           0           0.0369179   0
C105   0           0           0           0           0           0
C106   0           0           0           0           0           0
C107   0           0           0           0           0           0
C108   0           0           0           0           0           0
C109   0           0           0.0376361   0           0           0.0710759
C11    0           0.0314767   0           0           0           0
C110   0           0           0           0           0           0
C111   0           0           0           0           0           0
C112   0.206072    0           0           0           0           0
C113   0           0           0           0           0           0
C114   0           0           0           0           0           0
C115   0           0           0           0           0           0
C116   0           0           0           0           0           0
C117   0           0           0.0376361   0           0           0.0710759
C118   0           0           0           0           0           0
C119   0           0           0           0           0           0
C12    0.107666    0           0.0376361   0           0           0
C120   0           0           0           0           0           0
C121   0           0.0314767   0.0376361   0           0           0
C122   0           0           0.0376361   0           0           0
C123   0           0           0.0376361   0           0           0
C124   0           0           0           0           0           0.0710759
C125   0           0.0314767   0           0           0           0.0710759
C126   0           0           0           0.113086    0           0
C127   0           0           0           0           0           0
C128   0           0           0           0           0.0369179   0
C129   0           0           0           0           0           0
C13    0           0           0           0.113086    0           0
C130   0           0           0           0           0           0
C131   0           0           0           0           0           0
C132   0           0           0           0           0           0
C133   0           0           0           0           0           0
C134   0           0           0           0           0           0
C135   0           0           0           0           0           0
C136   0           0           0           0.113086    0           0
C137   0           0           0.0376361   0           0           0
C138   0           0.0314767   0           0           0           0
C139   0           0           0           0           0           0
C14    0           0.0314767   0           0           0           0
C140   0           0           0           0           0           0
C141   0           0           0           0           0           0
C142   0           0           0.0376361   0           0           0
C143   0           0           0           0           0           0
C144   0           0           0           0           0           0
C145   0           0           0           0           0           0
C146   0           0           0           0           0           0
C147   0           0           0           0.113086    0           0
C148   0           0           0           0           0           0.0710759
C149   0           0           0           0           0.0369179   0
C15    0           0           0           0           0           0
C150   0           0           0.0376361   0           0           0
C151   0.206072    0           0.0220559   0           0           0
C152   0           0           0           0           0           0
C153   0           0           0           0           0           0
C154   0           0           0           0           0           0
C155   0           0           0           0           0           0
C156   0           0           0           0.104882    0           0
C157   0.206072    0           0           0           0           0
C158   0           0           0           0           0           0
C159   0           0.0314767   0           0           0           0
C16    0           0           0           0           0           0
C160   0.184753    0           0           0           0           0
C161   0.0241219   0           0           0           0           0
C162   0           0           0           0           0           0
C163   0           0           0           0           0           0
C164   0           0           0           0           0           0
C165   0           0           0           0           0           0
C166   0           0           0           0           0           0
